xType,xDate,xHour,xShare,xReactions,xComment,xClass
3,4,18,5,17,0,0
2,4,17,2,17,1,0
4,3,17,5,12,2,0
2,3,17,22,81,1,2
3,2,19,7,35,1,1
3,2,18,0,4,0,0
2,2,17,5,35,0,1
1,6,10,2,32,1,0
1,5,16,2,63,0,1
1,4,16,6,33,2,1
1,4,12,12,36,1,1
1,4,12,31,69,2,2
1,4,11,9,34,2,1
1,4,10,8,52,3,2
3,3,18,10,61,13,2
1,3,16,8,58,5,2
3,3,11,11,28,0,1
4,3,9,16,20,1,1
1,2,16,8,57,1,2
2,7,21,6,98,0,2
2,5,16,5,44,0,1
1,4,17,5,43,1,1
1,3,16,13,36,1,1
4,3,11,8,22,1,1
3,2,20,13,30,4,1
3,2,20,0,6,0,0
1,2,17,26,81,4,2
2,7,17,3,94,3,2
1,5,17,8,86,3,2
1,4,16,2,40,0,0
4,4,8,11,52,0,2
1,3,15,7,121,13,2
3,3,9,51,552,57,2
3,2,19,2,16,0,0
3,2,18,3,8,1,0
1,2,17,1,79,9,2
1,5,16,7,33,0,1
1,4,16,5,27,3,1
1,3,16,5,43,4,1
1,3,10,15,14,1,1
3,2,19,6,13,1,0
1,2,16,17,54,0,2
3,2,16,2,13,0,0
1,6,20,19,76,2,2
1,4,15,8,124,8,2
1,3,17,4,41,6,1
2,3,16,11,74,1,2
1,2,8,17,109,2,2
3,6,13,16,43,3,2
1,5,16,7,93,3,2
1,5,9,5,51,2,1
1,4,17,14,122,44,2
1,4,16,28,190,43,2
3,2,19,0,25,4,0
0,2,18,0,3,0,0
1,6,14,8,266,11,2
1,5,18,6,46,3,1
1,5,9,20,93,3,2
1,4,22,5,47,11,2
1,4,13,37,320,100,2
2,3,16,5,62,1,2
3,2,19,10,39,4,1
0,2,18,0,5,0,0
1,6,14,0,26,0,0
1,5,15,2,45,1,1
2,4,14,4,85,2,2
3,2,19,9,34,1,1
0,2,16,0,14,0,0
1,2,14,8,134,4,2
1,6,16,0,67,6,1
3,6,16,2,37,4,1
1,6,9,14,35,0,1
1,5,16,3,116,3,2
1,4,16,0,64,1,1
